Figure of merit results from optimization:
2018-12-17 11:22:34, SI=1, It_no=0, Feval_no=4, FOM=782730.6654010548
2018-12-17 11:22:36, SI=1, It_no=1, Feval_no=5, FOM=784714.962666396
2018-12-17 11:22:38, SI=1, It_no=1, Feval_no=6, FOM=782631.0827966534
2018-12-17 11:22:40, SI=1, It_no=2, Feval_no=7, FOM=782785.8395142716
2018-12-17 11:22:41, SI=1, It_no=2, Feval_no=8, FOM=782856.1304498378
2018-12-17 11:22:43, SI=1, It_no=2, Feval_no=9, FOM=782351.503290047
2018-12-17 11:22:45, SI=1, It_no=2, Feval_no=10, FOM=782401.3349111525
2018-12-17 11:22:47, SI=1, It_no=2, Feval_no=11, FOM=782831.3585816328
2018-12-17 11:22:49, SI=2, It_no=0, Feval_no=1, FOM=782072.0044212503
2018-12-17 11:22:50, SI=2, It_no=0, Feval_no=2, FOM=783208.9166379581
2018-12-17 11:22:52, SI=2, It_no=0, Feval_no=3, FOM=784461.66469736
2018-12-17 11:22:54, SI=2, It_no=0, Feval_no=4, FOM=783131.0465593026
2018-12-17 11:22:56, SI=2, It_no=1, Feval_no=5, FOM=784863.7495681777
2018-12-17 11:22:58, SI=2, It_no=1, Feval_no=6, FOM=783266.6118707509
2018-12-17 11:23:00, SI=2, It_no=2, Feval_no=7, FOM=783532.428127977
2018-12-17 11:23:02, SI=2, It_no=2, Feval_no=8, FOM=782707.6866373237
2018-12-17 11:23:04, SI=3, It_no=0, Feval_no=1, FOM=782072.0044212503
2018-12-17 11:23:06, SI=3, It_no=0, Feval_no=2, FOM=782996.4831560206
2018-12-17 11:23:08, SI=3, It_no=0, Feval_no=3, FOM=783820.9021557582
2018-12-17 11:23:10, SI=3, It_no=0, Feval_no=4, FOM=783878.433397876
2018-12-17 11:23:12, SI=3, It_no=1, Feval_no=5, FOM=784122.0799926677
2018-12-17 11:23:14, SI=3, It_no=1, Feval_no=6, FOM=782901.8142651793
2018-12-17 11:23:16, SI=3, It_no=2, Feval_no=7, FOM=785035.0528282383
2018-12-17 11:23:18, SI=3, It_no=2, Feval_no=8, FOM=782805.9055918107
