Figure of merit results from optimization:
2018-12-17 12:24:26, SI=1, It_no=0, Feval_no=1, FOM=2.001287990651094
2018-12-17 12:24:28, SI=1, It_no=0, Feval_no=2, FOM=2.001287990651094
2018-12-17 12:24:31, SI=1, It_no=0, Feval_no=3, FOM=2.001287990651094
2018-12-17 12:24:33, SI=1, It_no=0, Feval_no=4, FOM=2.001287990651094
2018-12-17 12:24:35, SI=2, It_no=0, Feval_no=1, FOM=2.001287990651094
2018-12-17 12:24:37, SI=2, It_no=0, Feval_no=2, FOM=2.001287990651094
2018-12-17 12:24:39, SI=2, It_no=0, Feval_no=3, FOM=2.001287990651094
2018-12-17 12:24:41, SI=2, It_no=0, Feval_no=4, FOM=2.001287990651094
2018-12-17 12:24:43, SI=3, It_no=0, Feval_no=1, FOM=2.001287990651094
2018-12-17 12:24:45, SI=3, It_no=0, Feval_no=2, FOM=2.001287990651094
2018-12-17 12:24:47, SI=3, It_no=0, Feval_no=3, FOM=2.001287990651094
2018-12-17 12:24:49, SI=3, It_no=0, Feval_no=4, FOM=2.001287990651094
2018-12-17 12:24:51, SI=4, It_no=0, Feval_no=1, FOM=2.001287990651094
2018-12-17 12:24:54, SI=4, It_no=0, Feval_no=2, FOM=2.001287990651094
2018-12-17 12:24:56, SI=4, It_no=0, Feval_no=3, FOM=2.001287990651094
2018-12-17 12:24:58, SI=4, It_no=0, Feval_no=4, FOM=2.001287990651094
2018-12-17 12:25:00, SI=5, It_no=0, Feval_no=1, FOM=2.001287990651094
2018-12-17 12:25:02, SI=5, It_no=0, Feval_no=2, FOM=2.001287990651094
2018-12-17 12:25:04, SI=5, It_no=0, Feval_no=3, FOM=2.001287990651094
2018-12-17 12:25:06, SI=5, It_no=0, Feval_no=4, FOM=2.001287990651094
2018-12-17 12:25:08, SI=6, It_no=0, Feval_no=1, FOM=2.001287990651094
2018-12-17 12:25:10, SI=6, It_no=0, Feval_no=2, FOM=2.001287990651094
2018-12-17 12:25:13, SI=6, It_no=0, Feval_no=3, FOM=2.001287990651094
2018-12-17 12:25:15, SI=6, It_no=0, Feval_no=4, FOM=2.001287990651094
2018-12-17 12:25:16, SI=7, It_no=0, Feval_no=1, FOM=2.001287990651094
2018-12-17 12:25:19, SI=7, It_no=0, Feval_no=2, FOM=2.001287990651094
2018-12-17 12:25:21, SI=7, It_no=0, Feval_no=3, FOM=2.001287990651094
2018-12-17 12:25:23, SI=7, It_no=0, Feval_no=4, FOM=2.001287990651094
2018-12-17 12:25:25, SI=8, It_no=0, Feval_no=1, FOM=2.001287990651094
2018-12-17 12:25:27, SI=8, It_no=0, Feval_no=2, FOM=2.001287990651094
2018-12-17 12:25:29, SI=8, It_no=0, Feval_no=3, FOM=2.001287990651094
2018-12-17 12:25:31, SI=8, It_no=0, Feval_no=4, FOM=2.001287990651094
2018-12-17 12:25:33, SI=9, It_no=0, Feval_no=1, FOM=2.001287990651094
2018-12-17 12:25:35, SI=9, It_no=0, Feval_no=2, FOM=2.001287990651094
2018-12-17 12:25:37, SI=9, It_no=0, Feval_no=3, FOM=2.001287990651094
2018-12-17 12:25:39, SI=9, It_no=0, Feval_no=4, FOM=2.001287990651094
2018-12-17 12:25:41, SI=10, It_no=0, Feval_no=1, FOM=2.001287990651094
2018-12-17 12:25:43, SI=10, It_no=0, Feval_no=2, FOM=2.001287990651094
2018-12-17 12:25:45, SI=10, It_no=0, Feval_no=3, FOM=2.001287990651094
2018-12-17 12:25:47, SI=10, It_no=0, Feval_no=4, FOM=2.001287990651094
