Figure of merit results from optimization:
2018-12-17 12:42:50, SI=1, It_no=0, Feval_no=1, FOM=80.5742418052058
2018-12-17 12:42:52, SI=1, It_no=0, Feval_no=2, FOM=80.5742418052058
2018-12-17 12:42:54, SI=1, It_no=0, Feval_no=3, FOM=79.67122731841476
2018-12-17 12:42:56, SI=1, It_no=0, Feval_no=4, FOM=80.5742418052058
2018-12-17 12:42:58, SI=1, It_no=1, Feval_no=5, FOM=80.04080581744687
2018-12-17 12:43:00, SI=1, It_no=2, Feval_no=6, FOM=79.08110353043607
2018-12-17 12:43:02, SI=1, It_no=2, Feval_no=7, FOM=78.2299414902371
2018-12-17 12:43:04, SI=1, It_no=3, Feval_no=8, FOM=78.097490568264
2018-12-17 12:43:06, SI=1, It_no=3, Feval_no=9, FOM=76.99287170842423
2018-12-17 12:43:08, SI=1, It_no=4, Feval_no=10, FOM=76.6421705063103
2018-12-17 12:43:10, SI=1, It_no=4, Feval_no=11, FOM=75.39863647544256
2018-12-17 12:43:12, SI=2, It_no=0, Feval_no=1, FOM=75.39863647544256
2018-12-17 12:43:14, SI=2, It_no=0, Feval_no=2, FOM=74.80767216750276
2018-12-17 12:43:15, SI=2, It_no=0, Feval_no=3, FOM=75.3658716395666
2018-12-17 12:43:17, SI=2, It_no=0, Feval_no=4, FOM=75.81513609051447
2018-12-17 12:43:19, SI=2, It_no=1, Feval_no=5, FOM=74.5362372473432
2018-12-17 12:43:21, SI=2, It_no=1, Feval_no=6, FOM=73.84165742329273
2018-12-17 12:43:23, SI=2, It_no=2, Feval_no=7, FOM=74.06327152169563
2018-12-17 12:43:25, SI=2, It_no=3, Feval_no=8, FOM=73.23549829980152
2018-12-17 12:43:26, SI=2, It_no=3, Feval_no=9, FOM=72.07991678970204
2018-12-17 12:43:28, SI=3, It_no=0, Feval_no=1, FOM=72.07991678970204
2018-12-17 12:43:30, SI=3, It_no=0, Feval_no=2, FOM=71.57275194274533
2018-12-17 12:43:32, SI=3, It_no=0, Feval_no=3, FOM=71.5477049555025
2018-12-17 12:43:34, SI=3, It_no=0, Feval_no=4, FOM=71.82141249429432
2018-12-17 12:43:36, SI=3, It_no=1, Feval_no=5, FOM=71.22134132953134
2018-12-17 12:43:38, SI=3, It_no=1, Feval_no=6, FOM=71.11739232378223
2018-12-17 12:43:40, SI=3, It_no=2, Feval_no=7, FOM=71.11408715114531
2018-12-17 12:43:42, SI=3, It_no=2, Feval_no=8, FOM=70.63505949277996
2018-12-17 12:43:44, SI=4, It_no=0, Feval_no=1, FOM=70.63505949277996
2018-12-17 12:43:46, SI=4, It_no=0, Feval_no=2, FOM=71.17797199931478
2018-12-17 12:43:48, SI=4, It_no=0, Feval_no=3, FOM=70.96610388373749
2018-12-17 12:43:50, SI=4, It_no=0, Feval_no=4, FOM=70.42500655538109
2018-12-17 12:43:52, SI=4, It_no=1, Feval_no=5, FOM=70.1811269195003
2018-12-17 12:43:54, SI=4, It_no=1, Feval_no=6, FOM=69.6979168182217
2018-12-17 12:43:57, SI=4, It_no=2, Feval_no=7, FOM=69.55352622798353
2018-12-17 12:43:59, SI=4, It_no=2, Feval_no=8, FOM=68.8793793553072
2018-12-17 12:44:01, SI=5, It_no=0, Feval_no=1, FOM=68.8793793553072
2018-12-17 12:44:03, SI=5, It_no=0, Feval_no=2, FOM=69.14958322556147
2018-12-17 12:44:05, SI=5, It_no=0, Feval_no=3, FOM=69.34494327924703
2018-12-17 12:44:07, SI=5, It_no=0, Feval_no=4, FOM=68.96895719835851
2018-12-17 12:44:09, SI=5, It_no=1, Feval_no=5, FOM=68.6582048988689
2018-12-17 12:44:11, SI=5, It_no=1, Feval_no=6, FOM=68.32232402521134
2018-12-17 12:44:13, SI=5, It_no=2, Feval_no=7, FOM=68.30174004674359
2018-12-17 12:44:15, SI=5, It_no=2, Feval_no=8, FOM=67.88921987800033
2018-12-17 12:44:16, SI=6, It_no=0, Feval_no=1, FOM=67.88921987800033
