Figure of merit results from optimization:
2019-04-02 14:30:54, SI=1, It_no=0, Feval_no=1, FOM=1218.9228340277095
2019-04-02 14:30:59, SI=1, It_no=0, Feval_no=2, FOM=1410.296797732678
2019-04-02 14:31:03, SI=1, It_no=0, Feval_no=3, FOM=693.6785107323933
2019-04-02 14:31:06, SI=1, It_no=1, Feval_no=4, FOM=1501.4913492678106
2019-04-02 14:31:10, SI=1, It_no=1, Feval_no=5, FOM=1474.138367536593
2019-04-02 14:31:14, SI=1, It_no=1, Feval_no=6, FOM=1479.3612284512433
2019-04-02 14:31:17, SI=1, It_no=1, Feval_no=7, FOM=1297.536147378813
2019-04-02 14:31:21, SI=2, It_no=0, Feval_no=1, FOM=693.6785107323933
2019-04-02 14:31:24, SI=2, It_no=0, Feval_no=2, FOM=288.55845483071096
2019-04-02 14:31:29, SI=2, It_no=0, Feval_no=3, FOM=459.9507342282309
2019-04-02 14:31:32, SI=2, It_no=1, Feval_no=4, FOM=215.87204539862523
2019-04-02 14:31:35, SI=2, It_no=1, Feval_no=5, FOM=204.0715423447321
2019-04-02 14:31:39, SI=3, It_no=0, Feval_no=1, FOM=204.0715423447321
2019-04-02 14:31:42, SI=3, It_no=0, Feval_no=2, FOM=251.51423412004326
2019-04-02 14:31:45, SI=3, It_no=0, Feval_no=3, FOM=212.79576479772257
2019-04-02 14:31:49, SI=3, It_no=1, Feval_no=4, FOM=203.61466105575215
2019-04-02 14:31:52, SI=3, It_no=1, Feval_no=5, FOM=202.90871704964866
2019-04-02 14:31:55, SI=4, It_no=0, Feval_no=1, FOM=202.90871704964866
2019-04-02 14:31:59, SI=4, It_no=0, Feval_no=2, FOM=203.72570494337023
2019-04-02 14:32:02, SI=4, It_no=0, Feval_no=3, FOM=204.91931054445172
2019-04-02 14:32:05, SI=4, It_no=1, Feval_no=4, FOM=200.4592721234015
2019-04-02 14:32:09, SI=4, It_no=1, Feval_no=5, FOM=199.3238370276741
2019-04-02 14:32:12, SI=5, It_no=0, Feval_no=1, FOM=199.3238370276741
2019-04-02 14:32:15, SI=5, It_no=0, Feval_no=2, FOM=198.1916595038393
2019-04-02 14:32:18, SI=5, It_no=0, Feval_no=3, FOM=199.10089495150314
2019-04-02 14:32:22, SI=5, It_no=1, Feval_no=4, FOM=199.65893366058074
2019-04-02 14:32:25, SI=5, It_no=1, Feval_no=5, FOM=201.0746139283793
2019-04-02 14:32:28, SI=5, It_no=1, Feval_no=6, FOM=201.35985510888023
2019-04-02 14:32:31, SI=5, It_no=1, Feval_no=7, FOM=198.3027184250513
